A(32, 51),  B(23, 14), C(69, 54),  P(0, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(1, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(2, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(3, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(4, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(5, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(6, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(7, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(8, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(9, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(10, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(11, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(12, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(13, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(14, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(15, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(16, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(17, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(18, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(19, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(20, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(21, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(22, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(23, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(24, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(25, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(26, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(27, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(28, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(29, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(30, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(31, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(32, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(33, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(34, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(35, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(36, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(37, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(38, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(39, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(40, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(41, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(42, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(43, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(44, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(45, 0) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(46, 0) = Ponto fora do triangulo
